Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,17/11/95,St Pauli,Dusseldorf,2,1,H,2,1,H,,,,,,,,,,,
D1,18/11/95,Bayern Munich,Werder Bremen,2,0,H,1,0,H,,,,,,,,,,,
D1,18/11/95,Dortmund,Karlsruhe,4,1,H,1,0,H,,,,,,,,,,,
D1,18/11/95,Ein Frankfurt,FC Koln,1,0,H,0,0,D,,,,,,,,,,,
D1,18/11/95,Freiburg,Hansa Rostock,2,1,H,1,1,D,,,,,,,,,,,
D1,18/11/95,Kaiserslautern,Munich 1860,0,0,D,0,0,D,,,,,,,,,,,
D1,18/11/95,Leverkusen,Uerdingen,2,1,H,1,0,H,,,,,,,,,,,
D1,19/11/95,Stuttgart,Schalke 04,2,2,D,1,1,D,,,,,,,,,,,
D1,24/11/95,Dusseldorf,Stuttgart,1,2,A,1,0,H,,,,,,,,,,,
D1,24/11/95,Hamburg,St Pauli,1,0,H,1,0,H,,,,,,,,,,,
D1,25/11/95,Kaiserslautern,Freiburg,1,2,A,0,0,D,,,,,,,,,,,
D1,25/11/95,Karlsruhe,M'gladbach,4,0,H,1,0,H,,,,,,,,,,,
D1,25/11/95,Munich 1860,Leverkusen,0,1,A,0,0,D,,,,,,,,,,,
D1,25/11/95,Schalke 04,Ein Frankfurt,2,0,H,1,0,H,,,,,,,,,,,
D1,25/11/95,Uerdingen,Dortmund,0,2,A,0,0,D,,,,,,,,,,,
D1,25/11/95,Werder Bremen,Hansa Rostock,0,2,A,0,1,A,,,,,,,,,,,
D1,26/11/95,FC Koln,Bayern Munich,0,0,D,0,0,D,,,,,,,,,,,
D1,01/12/95,Dortmund,Munich 1860,3,1,H,1,1,D,,,,,,,,,,,
D1,01/12/95,Leverkusen,Freiburg,0,1,A,0,1,A,,,,,,,,,,,
D1,01/12/95,Werder Bremen,FC Koln,0,1,A,0,0,D,,,,,,,,,,,
D1,02/12/95,Bayern Munich,Schalke 04,4,0,H,1,0,H,,,,,,,,,,,
D1,02/12/95,Ein Frankfurt,Dusseld
